,model_number,model_type,metric,n_estimators,learning_rate,early_stopping_rounds,no_of_features,cv_method,n_fold,oof_score_,cv_avg_score_,cv_std_score_,avg_best_iteration_,std_best_iteration_,lb_score,training_time,comments,metric_fold_1,metric_fold_2,metric_fold_3,metric_fold_4,metric_fold_5,metric_fold_6,metric_fold_7,metric_fold_8,metric_fold_9,metric_fold_10,num_leaves
0927_1936,lgb_K5_nonull_mean_sum_max_f40_f48_log_f95_cbrt_f3_log_f77,lgb,roc_auc,10000.0,0.1,100.0,126.0,KFold,5.0,0.81345,0.81346,0.00072,214.6,54.12061,0.0,240.0,"LGB,KF5,non-null,mean,sum,max,f40,logf48,logf95,cbrtf3,logf77",,,,,,,,,,,31.0
0927_2002,lgb_K10_nonull_mean_sum_max_40_48_95_3_mean_imp_no_scaler_params_K,lgb,roc_auc,20000.0,0.005,200.0,125.0,KFold,10.0,0.81626,0.81627,0.00109,10515.0,1310.90259,0.0,11351.0,"LGB,K10,non-null,mean,sum,max,f40,48,95,3,mean impute,no-scaler",,,,,,,,,,,6.0
0927_2311,lgb_K10_nonull_mean_sum_max_40_48_95_3_no_imp_no_scaler_params_K,lgb,roc_auc,20000.0,0.005,200.0,125.0,KFold,10.0,0.81621,0.81622,0.00108,10811.8,1053.28826,0.0,11140.0,"LGB,K10,non-null,mean,sum,max,f40,48,95,3,no impute,no-scaler",,,,,,,,,,,6.0
0928_1123,stacking_lgb_xbg_cat_imputer_no_imputer,Ranking,roc_auc,,,,,,,0.81671,0.81671,0.00083,,,,49.0,"Ranking: LGB, XGB, Cat with and without imputation (removed old LGBs)",,,,,,,,,,,
0928_1141,stacking_lgb_xbg_cat_imputer_no_imputer,Ranking,roc_auc,,,,,,,0.81672,0.81672,0.00084,,,,50.0,"Ranking: LGB, XGB, Cat with and without imputation (old & new LGBs)",,,,,,,,,,,
0928_1204,ranking_lgb_xbg_cat_rank_impute_non_impute,Ranking,roc_auc,,,,,,,0.816687,,,,,0.0,9.0,"Ranking: LGB, XGB, Cat with imputation (old & new LGB)",,,,,,,,,,,
0928_1212,stacking_lgb_xbg_cat_imputer_no_imputer,Ranking,roc_auc,,,,,,,0.81673,0.81673,0.00084,,,,54.0,"Ranking: LGB, XGB, Cat with and without imputation (old & new LGBs),tsne",,,,,,,,,,,
0928_1220,stacking_lgb_xbg_cat_imputer_no_imputer,Ranking,roc_auc,,,,,,,0.81673,0.81673,0.00084,,,,55.0,"Sracking: LGB, XGB, Cat with and without imputation (old & new LGBs),tsne,all features",,,,,,,,,,,
0928_1230,lgb_all_features_params_from_K,lgb,roc_auc,20000.0,0.005,200.0,,,,,,,,,,,,,,,,,,,,,,6.0
0928_1231,lgb_all_features_params_from_K,lgb,roc_auc,20000.0,0.005,200.0,1166.0,KFold,5.0,,,,,,,,,,,,,,,,,,,6.0
0928_1259,logistic_K10_nonull_mean_sum_max_f40_48_95_3_no_imp_no_scaler_K_params,logistic_regression,roc_auc,,,,125.0,KFold,10.0,0.79925,0.79925,0.00097,,,0.0,,,,,,,,,,,,,
0928_1318,logistic_K10_nonull_mean_sum_max_f40_48_95_3_no_imp_no_scaler_K_params,logistic_regression,roc_auc,,,,125.0,KFold,10.0,,,,,,,,,,,,,,,,,,,
0928_1324,stacking_lgb_xbg_cat_imputer_no_imputer,Ranking,roc_auc,,,,,,,0.81674,0.81674,0.00084,,,,57.0,"Stacking: LGB, XGB, Cat with and without imputation (old & new LGBs),tsne,logistic",,,,,,,,,,,
0928_1326,logistic_K10_nonull_mean_sum_max_f40_48_95_3_no_imp_no_scaler_K_params,logistic_regression,roc_auc,,,,125.0,KFold,10.0,0.79922,0.79922,0.00098,,,0.0,2358.0,"LR,K10,no imputer,no scaler,no null,mean,sum,max,f40,48,95,3,params from K",,,,,,,,,,,
0928_1536,lgb_K10_nonull_mean_sum_max_40_48_95_3_mean_imp_no_scaler_params_K,lgb,roc_auc,20000.0,0.005,200.0,125.0,KFold,10.0,0.81645,0.81645,0.00107,12944.3,1554.54727,0.0,9166.0,"LGB,K10,non-null,mean,sum,max,f40,48,95,3,mean impute,no-scaler, log_loss",,,,,,,,,,,6.0
0928_1834,lgb_K10_nonull_mean_sum_max_40_48_95_3_no_imp_no_scaler_params_K,lgb,roc_auc,20000.0,0.005,200.0,125.0,KFold,10.0,0.81626,0.81627,0.00107,11619.1,1659.66421,0.0,8480.0,"LGB,K10,non-null,mean,sum,max,f40,48,95,3,no impute,no-scaler,log_loss",,,,,,,,,,,6.0
0928_2143,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Ranking,roc_auc,,,,,,,0.81677,0.81677,0.00082,,,,60.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs, 1 new XGB, tsne, LR",,,,,,,,,,,
0928_2156,lgb_K10_nonull_mean_sum_max_40_48_95_3_mean_encoding_mean_imp_no_scaler_params_K,lgb,roc_auc,20000.0,0.005,200.0,125.0,KFold,10.0,0.81649,0.8165,0.00106,11741.9,974.11862,0.0,7846.0,"LGB,K10,non-null,mean,sum,max,f40,48,95,3,mean encoding,mean impute,no-scaler",,,,,,,,,,,6.0
0929_0007,lgb_all_features_params_from_K,lgb,roc_auc,20000.0,0.005,200.0,1166.0,KFold,5.0,,,,,,,,,,,,,,,,,,,6.0
0929_0810,lgb_SK10_nonull_mean_sum_max_40_48_95_3_mean_encoding_mean_imp_no_scaler_params_K,lgb,roc_auc,20000.0,0.005,200.0,125.0,KFold,10.0,,,,,,,,,,,,,,,,,,,6.0
0929_0812,lgb_SK10_nonull_mean_sum_max_40_48_95_3_mean_imp_no_scaler_params_K,lgb,roc_auc,20000.0,0.005,200.0,125.0,KFold,10.0,0.8164,0.8164,0.00134,12711.9,1868.29433,0.0,8497.0,"LGB,SK10,non-null,mean,sum,max,f40,48,95,3,mean impute,no-scaler,log_loss",,,,,,,,,,,6.0
0929_1144,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.8168,0.8168,0.0008,,,,64.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGBs, new Cat, tsne, LR",,,,,,,,,,,
0929_1156,ranking_lgb_xbg_cat_rank_impute_non_impute_v2,Ranking,roc_auc,,,,,,,0.816492,,,,,0.0,14.0,"Ranking: LGB, XGB, Cat with and without imputation old/new LGBs/XGBs,new Cat,tsne,LR",,,,,,,,,,,
0929_1224,lgb_K10_nonull_mean_sum_max_40_48_95_3_pseudo_labeling_mean_imp_no_scaler_params_K,lgb,roc_auc,20000.0,0.005,200.0,118.0,KFold,10.0,,,,,,,,,,,,,,,,,,,6.0
0929_1228,lgb_K10_nonull_mean_sum_max_40_48_95_3_pseudo_labeling_mean_imp_no_scaler_params_K,lgb,roc_auc,20000.0,0.005,200.0,118.0,KFold,10.0,,,,,,,,,,,,,,,,,,,6.0
0929_1237,lgb_K10_nonull_mean_sum_max_40_48_95_3_pseudo_labeling_mean_imp_no_scaler_params_K,lgb,roc_auc,20000.0,0.005,200.0,125.0,KFold,10.0,0.82344,0.82345,0.00102,12782.6,1572.53205,0.0,10151.0,"LGB,K10,non-null,mean,sum,max,f40,48,95,3,pseudo labeling,mean encoding,mean impute,no-scaler",,,,,,,,,,,6.0
0929_1253,power_averaging,Power Averaging,roc_auc,,,,,,,,,,,,,,,,,,,,,,,,,
0929_1254,power_averaging,Power Averaging,roc_auc,,,,,,,,,,,,,,,,,,,,,,,,,
0929_1320,power_averaging,Power Averaging,roc_auc,,,,,,,0.278856,,,,,0.0,19.0,"Power Averaging: LGB, XGB, Cat with and without imputation old/new LGBs/XGBs,new Cat,tsne,LR",,,,,,,,,,,
0929_1322,power_averaging,Power Averaging,roc_auc,,,,,,,0.275778,,,,,0.0,14.0,"Power Averaging: LGB, XGB, Cat with and without imputation old/new LGBs/XGBs,new Cat,tsne,LR",,,,,,,,,,,
0929_1325,power_averaging,Power Averaging,roc_auc,,,,,,,0.816675,,,,,0.0,15.0,"Power Averaging: LGB, XGB, Cat with and without imputation old/new LGBs/XGBs,new Cat,tsne,LR",,,,,,,,,,,
0929_1538,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,,,,,,,,,,,,,,,,,,,
0929_1542,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81689,0.8169,0.00078,,,,66.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGBs, new Cat, tsne, LR, LGB Pseudo labeling",,,,,,,,,,,
0929_1549,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.8168,0.8168,0.0008,,,,63.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGBs, new Cat, tsne, LR",,,,,,,,,,,
0929_1825,lgb_SK10_nonull_mean_sum_max_40_48_95_3_mean_median_imp_no_scaler_params_K,lgb,roc_auc,20000.0,0.005,200.0,125.0,KFold,10.0,0.81638,0.81638,0.00127,12586.4,1516.93363,0.0,9233.0,"LGB,SK10,non-null,mean,sum,max,f40,48,95,3,mean/median impute,no-scaler,log_loss",,,,,,,,,,,6.0
0929_2133,xgb_K10_nonull_mean_sum_max_f40_48_95_3_mean_median_imp_StScaler_K_params,xgb,roc_auc,40000.0,0.005,300.0,125.0,KFold,10.0,,,,,,,,,,,,,,,,,,,
0930_0935,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81686,0.81686,0.00082,,,,83.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGBs/Cat, tsne, LR, all features, LGB(mean/median)",,,,,,,,,,,
0930_1004,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81679,0.8168,0.00082,,,,74.0,"Stacking: (Top scores) 15, 3, 7, 12, 18, 4, 2, 14, 8, 5",,,,,,,,,,,
0930_1018,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81684,0.81684,0.00082,,,,66.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGB/Cat,tsne,LR,all features",,,,,,,,,,,
0930_1020,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,,,,,,,,,,,,,,,,,,,
0930_1021,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81683,0.81683,0.00081,,,,63.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGB/Cat,tsne,LR,mean median",,,,,,,,,,,
0930_1025,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81685,0.81685,0.00082,,,,66.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGB/Cat,tsne,LR,mean median - LR",,,,,,,,,,,
0930_1030,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81686,0.81686,0.00082,,,,71.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGB/Cat,tsne,LR,mean/median/all LGB",,,,,,,,,,,
0930_1105,ranking_lgb_xbg_cat_rank_impute_non_impute_v2,Ranking,roc_auc,,,,,,,0.816733,,,,,0.0,32.0,"Ranking: sub_15, sub_7, sub_2, sub_18, sub_12, sub_3, sub_8, sub_1, sub_4",,,,,,,,,,,
0930_1109,ranking_lgb_xbg_cat_rank_impute_non_impute_v2,Ranking,roc_auc,,,,,,,0.816733,,,,,0.0,16.0,"Ranking: sub_15, sub_7, sub_2, sub_18, sub_12, sub_3, sub_8, sub_1, sub_4",,,,,,,,,,,
0930_1146,xgb_K5_all_features_params_from_K,xgb,roc_auc,40000.0,0.005,300.0,1166.0,KFold,5.0,,,,,,,,,,,,,,,,,,,
0930_1232,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81686,0.81686,0.00082,,,,71.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGB/Cat,tsne,LR,mean/median LGB/XGB, all LGB",,,,,,,,,,,
0930_1239,ranking_lgb_xbg_cat_rank_impute_non_impute_v2,Ranking,roc_auc,,,,,,,0.816732,,,,,0.0,14.0,"Ranking: sub_15, sub_7, sub_2, sub_18, sub_12, sub_3, sub_8, sub_1, sub_4",,,,,,,,,,,
0930_1242,cat_K10_nonull_mean_sum_max_f40_48_95_3_mean_medain_RobScaler_K_params,cat,roc_auc,20000.0,0.0235752066845965,500.0,125.0,KFold,5.0,0.81604,0.81604,0.00113,8886.4,1088.02658,0.0,5052.0,"Cat,K10,SImp,RobScaler,no null,mean,sum,max,params from k",,,,,,,,,,,
0930_1420,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81686,0.81686,0.00082,,,,71.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGB/Cat,tsne,LR,mean/median LGB/XGB/cat, all LGB",,,,,,,,,,,
0930_1422,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81687,0.81687,0.00082,,,,76.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGB/Cat,tsne,LR,mean/median LGB/XGB/cat, all LGB",,,,,,,,,,,
0930_1429,NB_nonull_mean_sum_max_f40_48_95_3_no_imp_no_scaler_K_params,logistic_regression,roc_auc,,,,125.0,KFold,10.0,0.78541,0.78541,0.0013,,,0.0,35.0,"NB,K10,simple imputer,standard scaler,no null,mean,sum,max,f40,48,95,3,params from K",,,,,,,,,,,
0930_1432,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,,,,,,,,,,,,,,,,,,,
0930_1433,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81687,0.81687,0.00082,,,,71.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGB/Cat,tsne,LR,mean/median LGB/XGB/cat,NB,all LGB",,,,,,,,,,,
0930_1437,MLP_nonull_mean_sum_max_f40_48_95_3_no_imp_no_scaler_K_params,logistic_regression,roc_auc,,,,125.0,KFold,10.0,,,,,,,,,,,,,,,,,,,
0930_1521,MLP_nonull_mean_sum_max_f40_48_95_3_no_imp_no_scaler_K_params,MLP,roc_auc,,,,125.0,KFold,5.0,0.8046,0.80525,0.00076,,,0.0,6432.0,"MLP,K10,simple imputer,standard scaler,no null,mean,sum,max,f40,48,95,3,params from K",,,,,,,,,,,
0930_1816,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81687,0.81688,0.00082,,,,73.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGB/Cat,tsne,LR,mean/median LGB/XGB/cat,all LGB, MLP",,,,,,,,,,,
0930_1831,stacking_lgb_xbg_cat_imputer_no_imputer_v2,Stacking,roc_auc,,,,,,,0.81687,0.81688,0.00082,,,,82.0,"Stacking: LGB, XGB, Cat with and without imputation old/new LGBs/XGB/Cat,tsne,LR,mean/median LGB/XGB/cat,all LGB, MLP, NB",,,,,,,,,,,
